data_source,scraped_time,name,organization_type,company_name,position
https://www.parliament.gh/mps?mp=211,2017-10-17 16:56:14.595086,FUSEINI BASHIR ALHASSAN,,GRAPHIC COMMUNICATIONS GROUP LTDM.P,NIGHT EDITOR
https://www.parliament.gh/mps?mp=212,2017-10-17 16:56:14.914743,MUMUNI  ALHASSAN,,GHANA EDU. SERVICECIRCUIT SUPERVISOR,HEADNASTER
https://www.parliament.gh/mps?mp=210,2017-10-17 16:56:15.353631,CHARLES BINIPOM BINTIN,,OFFICE OF THE PRESIDENTMEMBER OF PARLIAMENT,MINISTER
https://www.parliament.gh/mps?mp=213,2017-10-17 16:56:24.092857,SALIFU ADAM BRAIMAH,,2002-2015 ,DEPUTY MANAGER
https://www.parliament.gh/mps?mp=214,2017-10-17 16:56:24.452405,ABDUL-SAMED MUHAMED GUNU,NGO,KUGA-FONG,DIRECTOR
https://www.parliament.gh/mps?mp=215,2017-10-17 16:56:25.399966,ANDREW DARI CHIWITEY,,NATIONAL HEALTH INSURANCE AUTHORITY,PUBLIC RELATIONS OFFICER
https://www.parliament.gh/mps?mp=216,2017-10-17 16:56:26.555803,ALEX TETTEH DJORNOBUAH,,ALEX K. TETTEH GAS FILLING STATIONCEO,CEO
https://www.parliament.gh/mps?mp=218,2017-10-17 16:56:27.553867,CHRISTIAN CORLEYTEY OTUTEYE,,GIMPAMEMBER OF PARLIAMENT,LECTURER 
https://www.parliament.gh/mps?mp=228,2017-10-17 16:56:34.892930,KOBENA MENSAH WISDOM WOYOME,,STEWISE GROUP OF COMPANIES,BOARD CHAIRMAN 
https://www.parliament.gh/mps?mp=227,2017-10-17 16:56:38.875830,ROCKSON-NELSON ETSE KWAMI DAFEAMEKPOR,,NURSES TRAINING COLLEGE,TUTOR
https://www.parliament.gh/mps?mp=219,2017-10-17 16:56:45.392569,ANDREW KOFI EGYAPA MERCER,,FIRST ATLANTIC BANKSNR ASSOCIATE,AG. HEAD/LEGAL
https://www.parliament.gh/mps?mp=221,2017-10-17 16:56:47.572467,DOMINIC - NAPARE,,PARLIAMENT OF GHANADISTRICT CHIEF EXECUTIVE ,MEMBER OF PARLIAMENT 
https://www.parliament.gh/mps?mp=242,2017-10-17 16:56:47.656993,GEORGE MIREKU DUKER,,ISODECMUNICIPAL CHIEF EXECUTIVE,PROGRAMME MANAGER
