data_source,scraped_time,name,organization_type,company_name,position,date_position
https://www.parliament.gh/mps?mp=69,2017-10-18 08:48:18.267511,EMMANUEL KYEREMATENG AGYARKO,,FOOD AND DRUGS BOARD,CHIEF EXECUTIVE OFFICE,2001-2009
https://www.parliament.gh/mps?mp=54,2017-10-18 08:48:20.155072,JOHN NTIM FORDJOUR,,INITIATIVES GROUPHUMAN RESOURCES SUPERINTENDENT,CEO,2011-2016
https://www.parliament.gh/mps?mp=76,2017-10-18 08:48:20.346110,KWAKU  AGYENIM-BOATENG,,NATIONAL LEGAL SERVICES,LEGAL SERVICES CONSULTANT,1998-2008
https://www.parliament.gh/mps?mp=62,2017-10-18 08:48:21.223626,KWASI  AMOAKO-ATTAH,,MEAT MARKETING BOARDBRANDS MANAGER,REGIONAL MANAGER,1979-1985
https://www.parliament.gh/mps?mp=80,2017-10-18 08:48:21.925654,KINGSLEY  ABOAGYE-GYEDU,,PARLIAMENT OF GHANAEXECUTIVE DIRECTOR,MEMBER OF PARLIAMENT,2013-to date
https://www.parliament.gh/mps?mp=82,2017-10-18 08:48:21.955455,ROBERT BABA KUGANAB-LEM,,KINTAMPO HEALTH RESEARCHLECTURER,RESEARCH ASSISTANT,1994-1996
https://www.parliament.gh/mps?mp=81,2017-10-18 08:48:22.426079,DOMINIC BINGAB ADUNA NITIWUL,,PARLIAMENT OF GHANA,DEPUTY MINORITY LEADER,2013-2016
https://www.parliament.gh/mps?mp=83,2017-10-18 08:48:22.486357,SAMPSON  AHI,,PARLIAMENT OF GHANASECTOR MANAGER,MEMBER OF PARLIAMENT,2005-2016
https://www.parliament.gh/mps?mp=84,2017-10-18 08:48:23.281258,YUSIF  SULEMANA,,EXIM BANKRELATIONSHIP MANAGER,PROJECT MANAGER,2010-2016
https://www.parliament.gh/mps?mp=71,2017-10-18 08:48:23.797059,AHMED  IBRAHIM,,PARLIAMENT OF GHANA,MEMBER OF PARLIAMENT,2009-2016
https://www.parliament.gh/mps?mp=68,2017-10-18 08:48:24.034010,YUSSIF  ISSAKA JAJAH,,INTER-MINISTERIAL COORD. COMMITTEE ON DECENTRALIZATION SECT.CONSULTANT,RESEARCH FELLOW,2013-2016
https://www.parliament.gh/mps?mp=79,2017-10-18 08:48:24.382876,KWADWO NYANPON ABOAGYE,,GHANA HIGHWAY AUTHORITYDIRECTOR,CHIEF EXECUTIVE,2009-2010
https://www.parliament.gh/mps?mp=90,2017-10-18 08:48:24.390017,YAW OSEI ADUTWUM,,NEW DESIGNS EDUCATIONAL GROUP,CHIEF EXECUTIVE OFFICER,2004-2016
https://www.parliament.gh/mps?mp=74,2017-10-18 08:48:24.522592,JOSEPH  OSEI-OWUSU,,PARLIAMENT OF GHANAMEMBER OF PARLIAMENT,MEMBER OF PARLIAMENT,2009-2013
https://www.parliament.gh/mps?mp=87,2017-10-18 08:48:24.960951,EDWARD ABAMBIRE BAWA,,MINISTRY OF PETROLEUM CDM PROJECTS ANALYST,HEAD OF COMMUNICATIONS,2010-2016
https://www.parliament.gh/mps?mp=86,2017-10-18 08:48:25.625321,DOMINIC AKURITINGA AYINE,,MINISTRY OF JUSTICELECTURER,DEPUTY ATTORNEY-GENERAL,2013-to date
https://www.parliament.gh/mps?mp=72,2017-10-18 08:48:25.881693,DANIEL OKYEM ABOAGYE,,MGI MICRO-FINANCE FINANCIAL CONTROLLER,CEO,2008-2016
https://www.parliament.gh/mps?mp=88,2017-10-18 08:48:26.088274,HABIB  SAAD,,FOR GO ENT. LTD,MANAGING DIRECTOR,2000-to date
https://www.parliament.gh/mps?mp=89,2017-10-18 08:48:26.215395,JOYCE ADWOA AKOH DEI,,LONDON UNDERGROUND,STATION SUPERVISOR/TRAINING MANAGER,1991-2002
https://www.parliament.gh/mps?mp=66,2017-10-18 08:48:26.554589,HENRY  QUARTEY,,B.B.C TRADINGREGIONAL DIRECTOR,SALES & MARKETING MANAGER,1992-1996
https://www.parliament.gh/mps?mp=91,2017-10-18 08:48:26.859657,DANIEL KWESI ASHIAMAH,,GESSALES REPRESENTATIVE,3YEAR POST SEC-TEACHER,1993-1997
